Accommodation_id,type,cost
AC_1,Airbnb,"$1,000"
AC_2,Airbnb,$350
AC_3,Airbnb,"$4,000"
AC_4,Airbnb,$400
AC_5,Airbnb,$500
AC_6,Airbnb,"$6,000"
AC_7,Airbnb,$600
AC_8,Airbnb,"$7,000"
AC_9,Airbnb,$700
AC_10,Airbnb,$800
AC_11,Airbnb,$900
AC_12,Guesthouse,$400
AC_13,Hostel,$150
AC_14,Hostel,$180
AC_15,Hostel,"$2,000"
AC_16,Hostel,"$2,500"
AC_17,Hostel,$200
AC_18,Hostel,"$3,000"
AC_19,Hostel,$300
AC_20,Hostel,$400
AC_21,Hostel,$500
AC_22,Hostel,$600
AC_23,Hotel,"$1,000"
AC_24,Hotel,"$1,100"
AC_25,Hotel,"$1,200"
AC_26,Hotel,"$1,300"
AC_27,Hotel,"$1,400"
AC_28,Hotel,"$1,500"
AC_29,Hotel,$100
AC_30,Hotel,"$2,000"
AC_31,Hotel,$400
AC_32,Hotel,"$5,000"
AC_33,Hotel,$500
AC_34,Hotel,"$6,000"
AC_35,Hotel,$600
AC_36,Hotel,"$7,000"
AC_37,Hotel,$700
AC_38,Hotel,"$8,000"
AC_39,Hotel,$800
AC_40,Hotel,$900
AC_41,Resort,"$1,200"
AC_42,Resort,"$1,500"
AC_43,Resort,"$1,800"
AC_44,Resort,"$2,000"
AC_45,Resort,"$2,200"
AC_46,Resort,"$2,500"
AC_47,Resort,"$3,000"
AC_48,Resort,$500
AC_49,Resort,$600
AC_50,Resort,$700
AC_51,Resort,$800
AC_52,Riad,$600
AC_53,Vacation rental,"$1,000"
AC_54,Vacation rental,$800
AC_55,Vacation rental,$900
AC_56,Villa,"$1,000"
AC_57,Villa,"$1,200"
AC_58,Villa,"$1,500"
AC_59,Villa,"$2,000"
